Uid,Sid,Tag,Key,Time,Value,UpdateTime
8268996745,850327815,daily_report,stress,1728345600,"{""min_stress"":27,""avg_stress"":35,""max_stress"":44,""stress_scale"":{""severe"":0,""mild"":46,""relax"":0,""moderate"":0}}",1728452085
8268996745,850327815,daily_report,stress,1728432000,"{""max_stress"":44,""avg_stress"":24,""min_stress"":12,""stress_scale"":{""moderate"":0,""mild"":59,""relax"":89,""severe"":0}}",1728539150
8268996745,850327815,daily_report,stress,1728518400,"{""min_stress"":7,""max_stress"":45,""stress_scale"":{""relax"":78,""moderate"":0,""mild"":94,""severe"":0},""avg_stress"":27}",1728626269
8268996745,850327815,daily_report,stress,1728604800,"{""min_stress"":9,""max_stress"":45,""avg_stress"":22,""stress_scale"":{""moderate"":0,""severe"":0,""relax"":110,""mild"":41}}",1728694410
8268996745,850327815,daily_report,stress,1728691200,"{""min_stress"":5,""stress_scale"":{""mild"":32,""moderate"":0,""severe"":0,""relax"":82},""max_stress"":45,""avg_stress"":22}",1728778132
8268996745,850327815,daily_report,stress,1728777600,"{""stress_scale"":{""severe"":0,""mild"":56,""relax"":91,""moderate"":0},""avg_stress"":24,""max_stress"":45,""min_stress"":12}",1728856415
8268996745,850327815,daily_report,stress,1728864000,"{""avg_stress"":19,""max_stress"":39,""min_stress"":10,""stress_scale"":{""mild"":16,""moderate"":0,""relax"":80,""severe"":0}}",1728973646
8268996745,850327815,daily_report,stress,1728950400,"{""max_stress"":44,""stress_scale"":{""mild"":56,""severe"":0,""moderate"":0,""relax"":84},""min_stress"":10,""avg_stress"":24}",1729037432
8268996745,850327815,daily_report,stress,1729036800,"{""min_stress"":8,""stress_scale"":{""relax"":86,""moderate"":0,""severe"":0,""mild"":41},""max_stress"":44,""avg_stress"":22}",1729145382
8268996745,850327815,daily_report,stress,1729123200,"{""min_stress"":7,""avg_stress"":24,""stress_scale"":{""moderate"":0,""mild"":65,""severe"":0,""relax"":97},""max_stress"":47}",1729197252
8268996745,850327815,daily_report,stress,1729209600,"{""min_stress"":12,""avg_stress"":22,""stress_scale"":{""severe"":0,""mild"":31,""moderate"":0,""relax"":86},""max_stress"":44}",1729261812
8268996745,850327815,daily_report,stress,1729296000,"{""max_stress"":43,""min_stress"":8,""stress_scale"":{""mild"":46,""severe"":0,""relax"":79,""moderate"":0},""avg_stress"":23}",1729366958
8268996745,850327815,daily_report,stress,1729382400,"{""avg_stress"":23,""min_stress"":12,""max_stress"":45,""stress_scale"":{""moderate"":0,""mild"":47,""relax"":83,""severe"":0}}",1729465358
8268996745,850327815,daily_report,stress,1729468800,"{""min_stress"":15,""avg_stress"":25,""max_stress"":52,""stress_scale"":{""mild"":52,""moderate"":1,""severe"":0,""relax"":72}}",1729547925
8268996745,850327815,daily_report,stress,1729555200,"{""avg_stress"":19,""max_stress"":43,""stress_scale"":{""severe"":0,""mild"":8,""relax"":75,""moderate"":0},""min_stress"":12}",1729624320
8268996745,850327815,daily_report,stress,1729641600,"{""min_stress"":6,""max_stress"":45,""stress_scale"":{""relax"":83,""moderate"":0,""mild"":71,""severe"":0},""avg_stress"":25}",1729720603
8268996745,850327815,daily_report,stress,1729728000,"{""max_stress"":45,""avg_stress"":22,""min_stress"":12,""stress_scale"":{""moderate"":0,""mild"":48,""severe"":0,""relax"":105}}",1729834370
